type,price,qty,status,operation,balance,orderId,orderLinkId,profit_loss
buy,0.2371967654986519,5.0,ok,54,1.79042206 ETH,1709000462654767616,1709000462663156224,0.0
buy,0.0,5.0,ok,55,1.79182094 ETH,1709000466656133632,1709000466656133633,0.0
sell,0.2371967654986519,0.001,ok,56,1.79082094 ETH,1709000472662376960,1709000472662376961,0.2371967654986519
buy,0.2371967654986519,5.0,ok,57,1.79221982 ETH,1709000476714074624,1709000476714074625,0.0
sell,0.0026954177898232,0.001,ok,58,1.79121982 ETH,1709000482753872384,1709000482753872385,-0.2345013477088287
buy,0.0026954177898232,5.0,ok,59,1.79261870 ETH,1709000486730072576,1709000486730072577,0.0
sell,0.0026954177898232,0.001,ok,60,1.79161870 ETH,1709000492711150080,1709000492711150081,0.0
sell,0.0026954177898232,0.001,ok,61,1.79061870 ETH,1709000498767725056,1709000498767725057,0.0
sell,0.0,0.001,ok,62,1.78961870 ETH,1709000546222080512,1709000546222080513,-0.0026954177898232
sell,0.0,0.001,ok,63,1.78861870 ETH,1709000552295432704,1709000552295432705,-0.0026954177898232
sell,0.0053908355795329,0.001,ok,64,1.78761870 ETH,1709000558695940608,1709000558695940609,0.0026954177897097
buy,0.0053908355795329,5.0,ok,65,1.78901758 ETH,1709000566128247296,1709000566128247297,0.0
sell,0.0053908355795329,0.001,ok,66,1.78801758 ETH,1709000572126102016,1709000572126102017,0.0
sell,0.0053908355795329,0.001,ok,67,1.78701758 ETH,1709000578149122560,1709000578149122561,0.0
sell,0.1590296495957091,0.001,ok,68,1.78601758 ETH,1709000584088257024,1709000584088257025,0.15363881401617618
sell,0.307277628032466,0.001,ok,69,1.78501758 ETH,1709000590136443392,1709000590136443393,0.3018867924529331
sell,0.1590296495957091,0.001,ok,70,1.78401758 ETH,1709000596167852544,1709000596167852545,0.15363881401617618
buy,0.1590296495957091,5.0,ok,71,1.78541646 ETH,1709000600118886912,1709000600118886913,0.0
buy,0.3045822102426427,5.0,ok,72,1.78681534 ETH,1709000646432391680,1709000646432391681,0.0
sell,0.3962264150944747,0.001,ok,73,1.78581534 ETH,1709000652405080576,1709000652405080577,0.091644204851832
buy,0.3045822102426427,5.0,ok,74,1.78721422 ETH,1709000656389669376,1709000656389669377,0.0
sell,0.3045822102426427,0.001,ok,75,1.78621422 ETH,1709000662270083584,1709000662270083585,0.0
sell,0.307277628032466,0.001,ok,76,1.78521422 ETH,1709000668318269952,1709000668318269953,0.0026954177898232956
sell,0.3045822102426427,0.001,ok,77,1.78421422 ETH,1709000674400010752,1709000674400010753,0.0
buy,0.307277628032466,5.0,ok,78,1.78561310 ETH,1709000678351045120,1709000678351045121,0.0
sell,0.307277628032466,0.001,ok,79,1.78461310 ETH,1709000684348899840,1709000684348899841,0.0
sell,0.5229110512129864,0.001,ok,80,1.78361310 ETH,1709000690279645696,1709000690279645697,0.21563342318052042
sell,0.5202156334232768,0.001,ok,81,1.78261310 ETH,1709000696386552320,1709000696386552321,0.21293800539081081
sell,0.5202156334232768,0.001,ok,82,1.78161310 ETH,1709000750635680256,1709000750635680257,0.21293800539081081
sell,0.5202156334232768,0.001,ok,83,1.78061310 ETH,1709000756641923584,1709000756641923585,0.21293800539081081
buy,0.956873315363964,5.0,ok,84,1.78201198 ETH,1709000760601346560,1709000760601346561,0.0
buy,0.962264150943497,5.0,ok,85,1.78341086 ETH,1709000764619489792,1709000764619489793,0.0
sell,0.962264150943497,0.001,ok,86,1.78241086 ETH,1709000770608955904,1709000770608955905,0.0
sell,0.962264150943497,0.001,ok,87,1.78141086 ETH,1709000777009463808,1709000777009463809,0.0
sell,0.962264150943497,0.001,ok,88,1.78041086 ETH,1709000786421481984,1709000786421481985,0.0
buy,0.962264150943497,5.0,ok,89,1.78180974 ETH,1709000790431236608,1709000790431236609,0.0
sell,0.9973045822102904,0.001,ok,90,1.78080974 ETH,1709000796361982464,1709000796361982465,0.03504043126679335
sell,0.9973045822102904,0.001,ok,91,1.77980974 ETH,1709000802309505536,1709000802309505537,0.03504043126679335
sell,0.9973045822102904,0.001,ok,92,1.77880974 ETH,1709000852649542144,1709000852649542145,0.03504043126679335
sell,1.0,0.001,ok,93,1.77780974 ETH,1709000858546733568,1709000858546733569,0.03773584905650296
buy,1.0,5.0,ok,94,1.77920862 ETH,1709000862464213504,1709000862464213505,0.0
buy,0.983827493261515,5.0,ok,95,1.78060750 ETH,1709000869988794880,1709000869997183488,0.0
buy,0.9865229110513384,5.0,ok,96,1.78200638 ETH,1709000873973383680,1709000873973383681,0.0
buy,0.6981132075471805,5.0,ok,97,1.78340526 ETH,1709000877949583872,1709000877949583873,0.0
sell,0.9865229110513384,0.001,ok,98,1.78240526 ETH,1709000883947438592,1709000883947438593,0.28840970350415784
sell,0.9865229110513384,0.001,ok,99,1.78140526 ETH,1709000889853018624,1709000889853018625,0.28840970350415784
buy,0.9865229110513384,5.0,ok,100,1.78280414 ETH,1709000893778887168,1709000893778887169,0.0
buy,0.2318059299192327,5.0,ok,101,1.78420302 ETH,1709000897696367104,1709000897696367105,0.0
sell,0.2318059299192327,0.001,ok,102,1.78320302 ETH,1709000944068592128,1709000944068592129,0.0
buy,0.2318059299192327,5.0,ok,103,1.78460190 ETH,1709000948053180928,1709000948053180929,0.0
buy,0.2371967654986519,5.0,ok,104,1.78600078 ETH,1709000952012603904,1709000952012603905,0.0
sell,0.0,0.001,ok,105,1.78500078 ETH,1709000958044013056,1709000958044013057,-0.2371967654986519
buy,0.2371967654986519,5.0,ok,106,1.78639966 ETH,1709000962036990464,1709000962036990465,0.0
sell,0.2371967654986519,0.001,ok,107,1.78539966 ETH,1709000968093565440,1709000968093565441,0.0
buy,0.0026954177898232,5.0,ok,108,1.78679854 ETH,1709000972111708672,1709000972120097280,0.0
buy,0.0026954177898232,5.0,ok,109,1.78819742 ETH,1709000976071131648,1709000976071131649,0.0
sell,0.0026954177898232,0.001,ok,110,1.78719742 ETH,1709000982018654720,1709000982018654721,0.0
sell,0.0026954177898232,0.001,ok,111,1.78619742 ETH,1709000988008120832,1709000988008120833,0.0
sell,0.0,0.001,ok,112,1.78519742 ETH,1709001044497007104,1709001044497007105,-0.0026954177898232
buy,0.0,5.0,ok,113,1.78659630 ETH,1709001048406098432,1709001048406098433,0.0
buy,0.0053908355795329,5.0,ok,114,1.78799518 ETH,1709001052424241664,1709001052424241665,0.0
sell,0.0053908355795329,0.001,ok,115,1.78699518 ETH,1709001058396930560,1709001058396930561,0.0
sell,0.0053908355795329,0.001,ok,116,1.78599518 ETH,1709001064319287808,1709001064319287809,0.0
buy,0.0053908355795329,5.0,ok,117,1.78739406 ETH,1709001068278710784,1709001068278710785,0.0
sell,0.1590296495957091,0.001,ok,118,1.78639406 ETH,1709001074201068032,1709001074201068033,0.15363881401617618
sell,0.307277628032466,0.001,ok,119,1.78539406 ETH,1709001080056316416,1709001080056316417,0.3018867924529331
sell,0.1590296495957091,0.001,ok,120,1.78439406 ETH,1709001086138057216,1709001086138057217,0.15363881401617618
buy,0.1590296495957091,5.0,ok,121,1.78579294 ETH,1709001090089091584,1709001090089091585,0.0
buy,0.3045822102426427,5.0,ok,122,1.78719182 ETH,1709001140387185152,1709001140387185153,0.0
buy,0.3962264150944747,5.0,ok,123,1.78859070 ETH,1709001144245944832,1709001144245944833,0.0
sell,0.3045822102426427,0.001,ok,124,1.78759070 ETH,1709001150193467904,1709001150193467905,-0.091644204851832
sell,0.3045822102426427,0.001,ok,125,1.78659070 ETH,1709001156048716288,1709001156048716289,-0.091644204851832
