type,price,qty,status,operation,balance,orderId,orderLinkId,profit_loss,prediction
sell,0.6981132075471805,0.001,ok,47,1.59934798 ETH,1708997375873516032,1708997375873516033,0.39083557951471454,0.41367662
sell,0.9865229110513384,0.001,ok,48,1.59834798 ETH,1708997379841327616,1708997379841327617,0.6792452830188724,0.4319933
sell,0.9865229110513384,0.001,ok,49,1.59734798 ETH,1708997383800750592,1708997383800750593,0.6792452830188724,0.4319933
sell,0.9865229110513384,0.001,ok,50,1.59634798 ETH,1708997387726619136,1708997387726619137,0.6792452830188724,0.4319933
buy,0.2318059299192327,5.0,ok,51,1.59774686 ETH,1708997391719596544,1708997391719596545,-0.07547169811323329,0.35671616
buy,0.2318059299192327,5.0,ok,52,1.59914574 ETH,1708997395645465088,1708997395645465089,0.0,0.35671616
buy,0.2318059299192327,5.0,ok,53,1.60054462 ETH,1708997399596499456,1708997399596499457,0.0,0.35671616
buy,0.2371967654986519,5.0,ok,54,1.60194350 ETH,1708997403564311040,1708997403564311041,0.00539083557941919,0.3576543
buy,0.0,5.0,ok,55,1.60334238 ETH,1708997407498568192,1708997407498568193,-0.2371967654986519,0.31092376
buy,0.2371967654986519,5.0,ok,56,1.60474126 ETH,1708997411491545600,1708997411491545601,0.2371967654986519,0.3576543
buy,0.2371967654986519,5.0,ok,57,1.60614014 ETH,1708997415476134400,1708997415476134401,0.0,0.3576543
buy,0.0026954177898232,5.0,ok,58,1.60753902 ETH,1708997419410391552,1708997419410391553,-0.2345013477088287,0.31149793
buy,0.0026954177898232,5.0,ok,59,1.60893790 ETH,1708997423445312000,1708997423445312001,0.0,0.31149793
buy,0.0026954177898232,5.0,ok,60,1.61033678 ETH,1708997427455066624,1708997427455066625,0.0,0.31149793
buy,0.0026954177898232,5.0,ok,61,1.61173566 ETH,1708997431414489600,1708997431414489601,0.0,0.31149793
buy,0.0,5.0,ok,62,1.61313454 ETH,1708997435365523968,1708997435365523969,-0.0026954177898232,0.31092376
buy,0.0,5.0,ok,63,1.61453342 ETH,1708997439366889984,1708997439366889985,0.0,0.31092376
buy,0.0053908355795329,5.0,ok,64,1.61593230 ETH,1708997443368256000,1708997443368256001,0.0053908355795329,0.3120717
buy,0.0053908355795329,5.0,ok,65,1.61733118 ETH,1708997447327678976,1708997447336067584,0.0,0.3120717
buy,0.0053908355795329,5.0,ok,66,1.61873006 ETH,1708997451278713344,1708997451278713345,0.0,0.3120717
buy,0.0053908355795329,5.0,ok,67,1.62012894 ETH,1708997455246524928,1708997455246524929,0.0,0.3120717
buy,0.1590296495957091,5.0,ok,68,1.62152782 ETH,1708997459214336512,1708997459214336513,0.15363881401617618,0.34339187
buy,0.307277628032466,5.0,ok,69,1.62292670 ETH,1708997463182148096,1708997463182148097,0.1482479784367569,0.36920345
buy,0.1590296495957091,5.0,ok,70,1.62432558 ETH,1708997467124793856,1708997467124793857,-0.1482479784367569,0.34339187
buy,0.1590296495957091,5.0,ok,71,1.62572446 ETH,1708997471092605440,1708997471092605441,0.0,0.34339187
buy,0.3045822102426427,5.0,ok,72,1.62712334 ETH,1708997475052028416,1708997475060417024,0.14555256064693362,0.3687817
sell,0.3962264150944747,0.001,ok,73,1.62612334 ETH,1708997479061783040,1708997479061783041,0.091644204851832,0.38212785
buy,0.3045822102426427,5.0,ok,74,1.62752222 ETH,1708997483012817408,1708997483012817409,0.0,0.3687817
buy,0.3045822102426427,5.0,ok,75,1.62892110 ETH,1708997487005794816,1708997487005794817,0.0,0.3687817
buy,0.307277628032466,5.0,ok,76,1.63031998 ETH,1708997490998772224,1708997490998772225,0.0026954177898232956,0.36920345
buy,0.3045822102426427,5.0,ok,77,1.63171886 ETH,1708997494983361024,1708997494983361025,-0.0026954177898232956,0.3687817
