type,price,qty,status,operation,balance,orderId,orderLinkId,profit_loss
sell,0.028106036410079582,0.001,ok,52,0.63545804 ETH,1699613134131823104,1699613134131823105,-0.9718939635899204
buy,0.032258064516128115,5.0,ok,53,0.63683694 ETH,1699613137957028352,1699613137957028353,0.0
sell,0.05269881826892231,0.001,ok,54,0.63583694 ETH,1699613143594172928,1699613143594172929,0.020440753752794194
sell,0.08495688278505042,0.001,ok,55,0.63483694 ETH,1699613149290037760,1699613149290037761,0.05269881826892231
sell,0.10220376876397097,0.001,ok,56,0.63383694 ETH,1699613154876850688,1699613154876850689,0.06994570424784285
sell,0.12264452251676516,0.001,ok,57,0.63283694 ETH,1699613160505606656,1699613160505606657,0.09038645800063705
sell,0.325774512935169,0.001,ok,58,0.63183694 ETH,1699613166125974016,1699613166125974017,0.2935164484190409
sell,0.530182050463111,0.001,ok,59,0.63083694 ETH,1699613171872170496,1699613171872170497,0.49792398594698284
sell,0.12264452251676516,0.001,ok,60,0.62983694 ETH,1699613177576423936,1699613177576423937,0.09038645800063705
sell,0.12456084318108651,0.001,ok,61,0.62883694 ETH,1699613183205179904,1699613183213568512,0.0923027786649584
buy,0.12871287128712083,5.0,ok,62,0.63021583 ETH,1699613234258248192,1699613234258248193,0.0
buy,0.14212711593739868,5.0,ok,63,0.63159473 ETH,1699613238024733184,1699613238024733185,0.0
buy,0.14276588949216773,5.0,ok,64,0.63297362 ETH,1699613245071163904,1699613245071163905,0.0
sell,0.18045352922388247,0.001,ok,65,0.63197362 ETH,1699613250716697088,1699613250716697089,0.03768763973171474
buy,0.18109230277865151,5.0,ok,66,0.63335252 ETH,1699613254516736512,1699613254516736513,0.0
sell,0.2395400830405663,0.001,ok,67,0.63235252 ETH,1699613260170658304,1699613260170658305,0.05844778026191477
sell,0.292558288086866,0.001,ok,68,0.63135252 ETH,1699613265807802880,1699613265807802881,0.1114659853082145
sell,0.341105078249754,0.001,ok,69,0.63035252 ETH,1699613271486890496,1699613271486890497,0.1600127754711025
sell,0.3474928137975013,0.001,ok,70,0.62935252 ETH,1699613277124035072,1699613277132423680,0.16640051101884978
sell,0.3497285212392143,0.001,ok,71,0.62835252 ETH,1699613282794734080,1699613282803122688,0.16863621846056276
sell,0.3577131906739055,0.001,ok,72,0.62735252 ETH,1699613335416472064,1699613335416472065,0.176620887895254
sell,0.3615458320025482,0.001,ok,73,0.62635252 ETH,1699613344526500352,1699613344526500353,0.18045352922389668
sell,0.3989140849568855,0.001,ok,74,0.62535252 ETH,1699613350222365184,1699613350222365185,0.217821782178234
sell,0.39955285851165456,0.001,ok,75,0.62435252 ETH,1699613356018893312,1699613356018893313,0.21846055573300305
buy,0.41711913126796674,5.0,ok,76,0.62573142 ETH,1699613359844098560,1699613359844098561,0.0
